#Table of Remnant Masses
# Met   0.85   1.0    2.0    3.0
# Edited by RHK to put NaN in line 4.
 0.00  0.776  0.843  1.080  1.101
-6.50  0.758  0.846  1.066  1.107
-5.45  0.744  0.873  1.058  1.097
-4.00  0.761  0.852  1.085  NaN
-3.00  0.753  0.855  1.038  1.069
