 0.1   1.10 -1.41E-02  1.41E-02 -5.46E-04  6.38E-04 -6.52E-05  4.67E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.20 -1.52E-02  1.52E-02 -6.49E-04  7.57E-04 -7.60E-05  5.38E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.30 -1.62E-02  1.62E-02 -7.56E-04  8.82E-04 -8.70E-05  6.09E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.40 -1.67E-02  1.67E-02 -8.63E-04  1.01E-03 -9.75E-05  6.76E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.50 -1.68E-02  1.68E-02 -9.72E-04  1.13E-03 -1.08E-04  7.39E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.60 -1.68E-02  1.68E-02 -1.09E-03  1.27E-03 -1.19E-04  8.05E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.70 -1.63E-02  1.63E-02 -1.20E-03  1.40E-03 -1.29E-04  8.65E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.1   1.80 -1.65E-02  1.62E-02 -1.02E-03  1.54E-03 -1.54E-04  9.25E-05  3.12E-04  0.00E+00  1.50E-06  0.00E+00
 0.1   1.90 -2.00E-02  1.81E-02  3.42E-04  1.68E-03 -2.36E-04  9.79E-05  1.82E-03  5.77E-20  9.00E-06  0.00E+00
 0.1   2.00 -2.51E-02  2.10E-02  2.37E-03  1.80E-03 -3.48E-04  1.03E-04  4.00E-03 -5.36E-23  2.03E-05  0.00E+00
 0.1   2.20 -5.49E-02  4.01E-02  1.23E-02  2.00E-03 -8.48E-04  1.09E-04  1.44E-02 -8.66E-19  7.59E-05  0.00E+00
 0.1   2.40 -7.60E-02  5.36E-02  1.93E-02  2.24E-03 -1.21E-03  1.16E-04  2.17E-02  3.70E-19  1.19E-04  0.00E+00
 0.1   2.60 -8.39E-02  5.83E-02  2.21E-02  2.55E-03 -1.37E-03  1.25E-04  2.48E-02 -2.37E-18  1.39E-04  0.00E+00
 0.1   2.80 -9.29E-02  6.35E-02  2.54E-02  2.86E-03 -1.55E-03  1.33E-04  2.84E-02  4.75E-18  1.65E-04  0.00E+00
 0.1   3.00 -9.72E-02  6.56E-02  2.72E-02  3.21E-03 -1.67E-03  1.41E-04  3.06E-02 -8.64E-18  1.84E-04  0.00E+00
 0.1   3.20 -1.04E-01  6.91E-02  3.01E-02  3.46E-03 -1.83E-03  1.52E-04  3.38E-02  1.33E-17  2.11E-04  0.00E+00
 0.1   3.40 -1.11E-01  7.34E-02  3.26E-02  3.72E-03 -1.97E-03  1.63E-04  3.66E-02  1.61E-18  2.34E-04  0.00E+00
 0.1   3.60 -1.21E-01  7.94E-02  3.57E-02  3.97E-03 -2.14E-03  1.74E-04  4.00E-02  1.25E-17  2.61E-04  0.00E+00
 0.1   3.80 -1.37E-01  8.99E-02  4.10E-02  4.18E-03 -2.40E-03  1.84E-04  4.56E-02 -9.82E-18  3.09E-04  0.00E+00
 0.1   3.90 -1.47E-01  9.64E-02  4.42E-02  4.29E-03 -2.55E-03  1.88E-04  4.89E-02 -9.29E-18  3.37E-04  0.00E+00
 0.1   4.00 -1.40E-01  9.18E-02  4.18E-02  4.47E-03 -2.45E-03  1.97E-04  4.66E-02  1.84E-08  3.32E-04  9.34E-07
 0.1   4.02 -1.38E-01  9.07E-02  4.12E-02  4.50E-03 -2.42E-03  2.00E-04  4.61E-02  4.43E-08  3.34E-04  2.20E-06
 0.1   4.04 -1.33E-01  8.71E-02  3.94E-02  4.56E-03 -2.34E-03  2.14E-04  4.42E-02  2.68E-07  3.23E-04  1.23E-05
 0.1   4.06 -1.32E-01  8.65E-02  3.90E-02  4.58E-03 -2.32E-03  2.16E-04  4.39E-02  2.81E-07  3.27E-04  1.27E-05
 0.1   4.08 -1.29E-01  8.45E-02  3.80E-02  4.63E-03 -2.28E-03  2.37E-04  4.29E-02  6.93E-07  3.24E-04  2.93E-05
 0.1   4.10 -1.24E-01  8.12E-02  3.63E-02  4.68E-03 -2.20E-03  3.24E-04  4.12E-02  2.85E-06  3.14E-04  9.98E-05
 0.1   4.20 -1.17E-01  7.66E-02  3.35E-02  4.86E-03 -2.09E-03  6.96E-04  3.86E-02  1.92E-05  3.22E-04  4.00E-04
 0.1   4.30 -1.15E-01  7.52E-02  3.28E-02  4.97E-03 -2.03E-03  6.32E-04  3.80E-02  1.55E-05  3.48E-04  3.41E-04
 0.1   4.50 -8.59E-02  5.62E-02  4.67E-03  2.18E-02 -1.69E-03  5.36E-03  1.48E-02  1.24E-02  2.84E-04  3.56E-03
 0.1   4.60 -5.85E-02  3.83E-02 -1.02E-02  3.45E-02 -2.12E-03  5.93E-04  3.75E-03  1.82E-02  1.91E-04  2.20E-04
 0.1   4.70 -4.25E-02  2.78E-02 -1.11E-02  3.09E-02 -3.19E-03  4.43E-04  3.30E-03  1.26E-02  1.45E-04  1.39E-04
 0.1   4.80 -2.80E-02  1.83E-02 -1.19E-02  2.68E-02 -3.52E-03  3.42E-04  2.86E-03  7.47E-03  1.03E-04  1.12E-04
 0.1   4.90 -3.80E-02  2.93E-02 -1.22E-02  2.66E-02 -4.05E-03  3.27E-04  2.81E-03  6.38E-03  9.55E-05  1.11E-04
 0.1   5.00 -5.45E-02  4.57E-02 -1.25E-02  2.77E-02 -4.79E-03  3.35E-04  2.85E-03  6.52E-03  9.94E-05  1.25E-04
 0.1   6.00 -2.13E-01  2.02E-01 -1.48E-02  3.87E-02 -1.19E-02  4.48E-04  3.21E-03  8.34E-03  1.47E-04  2.19E-04
 0.1   7.00 -3.50E-01  3.42E-01 -1.76E-02  4.22E-02 -1.59E-02  4.71E-04  2.95E-03  5.28E-03  1.29E-04  1.45E-04
 0.1   8.00 -4.79E-01  4.75E-01 -2.05E-02  4.22E-02 -1.69E-02  4.38E-04  2.04E-03  1.79E-03  7.58E-05  6.29E-05
 0.2   1.00 -1.19E-02  1.19E-02 -5.65E-04  6.60E-04 -6.88E-05  4.97E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.2   1.20 -1.45E-02  1.45E-02 -8.29E-04  9.67E-04 -9.71E-05  6.87E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.2   1.40 -1.58E-02  1.58E-02 -1.10E-03  1.28E-03 -1.24E-04  8.61E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.2   1.60 -1.57E-02  1.57E-02 -1.38E-03  1.61E-03 -1.51E-04  1.02E-04  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.2   1.80 -1.44E-02  1.44E-02 -1.68E-03  1.96E-03 -1.77E-04  1.17E-04  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 0.2   2.00 -1.90E-02  1.65E-02  3.85E-04  2.30E-03 -3.50E-04  1.31E-04  2.43E-03 -7.81E-22  1.21E-05  0.00E+00
 0.2   2.20 -5.18E-02  3.73E-02  1.14E-02  2.53E-03 -1.07E-03  1.38E-04  1.40E-02  1.38E-18  7.33E-05  0.00E+00
 0.2   2.40 -6.45E-02  4.51E-02  1.57E-02  2.88E-03 -1.37E-03  1.49E-04  1.87E-02 -6.05E-19  1.00E-04  0.00E+00
 0.2   3.00 -9.48E-02  6.25E-02  2.67E-02  4.04E-03 -2.17E-03  1.77E-04  3.10E-02  3.45E-18  1.84E-04  0.00E+00
 0.2   3.10 -9.51E-02  6.23E-02  2.71E-02  4.23E-03 -2.22E-03  1.85E-04  3.16E-02 -4.40E-18  1.89E-04  0.00E+00
 0.2   3.20 -9.87E-02  6.41E-02  2.86E-02  4.38E-03 -2.33E-03  1.92E-04  3.33E-02  7.47E-18  2.04E-04  0.00E+00
 0.2   3.30 -1.03E-01  6.68E-02  3.04E-02  4.53E-03 -2.45E-03  1.98E-04  3.52E-02  1.68E-18  2.19E-04  0.00E+00
 0.2   3.40 -1.06E-01  6.87E-02  3.12E-02  4.70E-03 -2.52E-03  2.06E-04  3.62E-02 -1.33E-17  2.27E-04  0.00E+00
 0.2   3.50 -1.13E-01  7.31E-02  3.34E-02  4.84E-03 -2.67E-03  2.12E-04  3.86E-02 -4.98E-18  2.46E-04  0.00E+00
 0.2   3.60 -1.21E-01  7.80E-02  3.59E-02  4.98E-03 -2.83E-03  2.18E-04  4.12E-02  1.55E-17  2.68E-04  0.00E+00
 0.2   3.70 -1.25E-01  8.06E-02  3.71E-02  5.15E-03 -2.93E-03  2.26E-04  4.27E-02  1.80E-17  2.79E-04  0.00E+00
