 alpha_MLT Mi MTP,0   Mej       My(H)     My(3He)   My(4He)    My(12C)   My(13C)  My(14N)    My(15N)    My(16O)  My(17O)    My(18O)   My(CNO)
 1.68  0.817 0.600 1.438E-02 -1.496E-04  4.183E-05 1.079E-04 -9.607E-08 6.961E-08 3.561E-08 -1.050E-09 -4.027E-09 5.753E-12 -7.191E-11 4.004E-09
 1.68  0.888 0.700 1.006E-01 -1.549E-03  1.830E-04 1.378E-03 -2.211E-06 1.147E-06 1.356E-06 -1.403E-08 -2.817E-08 5.030E-11 -1.710E-09 2.475E-07
 1.68  0.966 0.800 1.967E-01 -3.030E-03  3.656E-04 2.695E-03 -4.344E-06 2.180E-06 2.749E-06 -2.618E-08 -5.508E-08 1.377E-10 -3.344E-09 5.010E-07
 1.68  1.046 0.900 2.871E-01 -4.623E-03  4.311E-04 4.192E-03 -1.280E-05 3.345E-06 1.139E-05 -4.649E-08 -8.040E-08 9.188E-10 -1.895E-08 1.792E-06
 1.68  1.131 1.000 3.688E-01 -6.491E-03  4.441E-04 6.048E-03 -2.868E-05 4.890E-06 2.831E-05 -7.652E-08 -1.033E-07 6.380E-09 -6.786E-08 4.279E-06
 1.68  1.218 1.100 4.654E-01 -2.084E-02  3.784E-04 1.619E-02  3.982E-03 6.172E-06 4.877E-05 -1.312E-07  3.325E-04 4.046E-08 -2.429E-07 4.370E-03
 1.68  1.307 1.200 5.733E-01 -6.774E-02  4.172E-04 4.857E-02  1.737E-02 6.298E-06 4.136E-05 -1.943E-07  1.436E-03 1.306E-09 -5.248E-07 1.886E-02
 1.68  1.396 1.300 6.596E-01 -9.309E-02  4.048E-04 6.607E-02  2.461E-02 6.835E-06 5.183E-05 -2.488E-07  2.034E-03 2.158E-08 -7.397E-07 2.670E-02
 1.68  1.481 1.400 7.552E-01 -1.121E-01  4.069E-04 7.940E-02  2.993E-02 8.326E-06 6.720E-05 -3.037E-07  2.474E-03 1.423E-07 -9.264E-07 3.248E-02
 1.68  1.564 1.500 8.394E-01 -1.386E-01  3.728E-04 9.839E-02  3.693E-02 8.801E-06 1.045E-04 -3.812E-07  3.054E-03 5.717E-07 -1.264E-06 4.010E-02
 1.68  1.647 1.600 9.225E-01 -1.663E-01  3.029E-04 1.176E-01  4.490E-02 9.075E-06 1.376E-04 -4.480E-07  3.699E-03 1.922E-06 -1.560E-06 4.875E-02
 1.68  1.729 1.700 1.004E+00 -1.925E-01  3.226E-04 1.357E-01  5.226E-02 9.522E-06 1.426E-04 -4.946E-07  4.304E-03 2.034E-06 -1.749E-06 5.672E-02
