 alpha_MLT Mi      Mej       My(H)     My(3He)       My(4He)     My(12C)     My(13C)    My(14N)     My(15N)     My(16O)      My(17O)     My(18O)    My(CNO)
  2.50   4.00   3.003E+00  -2.887E-01  -7.711E-05   2.396E-01   8.392E-04   5.860E-04   4.637E-02  -1.210E-06   2.597E-04   1.058E-03  -1.299E-05   4.910E-02  T
  2.50   4.00   3.003E+00  -2.887E-01  -7.711E-05   2.396E-01  -1.890E-03   2.672E-05   3.387E-03  -2.399E-06  -2.498E-03   6.327E-04  -1.301E-05  -3.564E-04  S
  2.50   4.00   3.003E+00  -2.887E-01  -7.711E-05   2.396E-01   2.729E-03   5.593E-04   4.298E-02   1.189E-06   2.757E-03   4.250E-04   1.651E-08   4.945E-02  P
  2.50   4.50   3.487E+00  -3.520E-01  -8.953E-05   3.151E-01   1.491E-04   4.774E-04   3.713E-02  -1.894E-06  -2.051E-03   1.061E-03  -1.510E-05   3.675E-02  T
  2.50   4.50   3.487E+00  -3.520E-01  -8.953E-05   3.151E-01  -2.164E-03   4.234E-05   4.904E-03  -2.762E-06  -3.860E-03   7.229E-04  -1.511E-05  -3.725E-04  S
  2.50   4.50   3.487E+00  -3.520E-01  -8.953E-05   3.151E-01   2.313E-03   4.351E-04   3.222E-02   8.679E-07   1.809E-03   3.381E-04   9.615E-09   3.712E-02  P
  2.50   5.00   3.970E+00  -5.596E-01  -1.019E-04   5.154E-01   2.089E-04   5.982E-04   4.629E-02  -2.060E-06  -2.654E-03   1.166E-03  -1.720E-05   4.559E-02  T
  2.50   5.00   3.970E+00  -5.596E-01  -1.019E-04   5.154E-01  -2.446E-03   5.322E-05   5.975E-03  -3.137E-06  -4.799E-03   7.510E-04  -1.721E-05  -4.863E-04  S
  2.50   5.00   3.970E+00  -5.596E-01  -1.019E-04   5.154E-01   2.654E-03   5.450E-04   4.031E-02   1.077E-06   2.146E-03   4.154E-04   1.027E-08   4.608E-02  P
 
